Time,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16
20,11.0,13.0,4.0,6.0,7.0,0.0,1.0,3.0,5.0,1.0,0.0,0.0,4.0,19.0,3.0,21.0
21,11.0,12.0,4.0,6.0,7.0,0.0,1.0,4.0,4.0,1.0,0.0,0.0,4.0,19.0,3.0,20.0
22,11.0,12.0,4.0,7.0,6.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,4.0,17.0,3.0,20.0
23,10.0,13.0,4.0,8.0,7.0,1.0,1.0,4.0,4.0,0.0,0.0,1.0,4.0,17.0,3.0,20.0
24,9.0,13.0,4.0,8.0,7.0,2.0,1.0,4.0,4.0,0.0,0.0,2.0,4.0,17.0,3.0,19.0
25,8.0,13.0,4.0,8.0,6.0,3.0,1.0,3.0,4.0,0.0,0.0,3.0,4.0,15.0,3.0,19.0
26,8.0,10.0,5.0,8.0,6.0,3.0,1.0,3.0,5.0,0.0,0.0,3.0,3.0,12.0,3.0,19.0
27,8.0,9.0,5.0,8.0,5.0,3.0,0.0,2.0,5.0,0.0,0.0,3.0,3.0,12.0,3.0,20.0
28,8.0,9.0,5.0,8.0,5.0,3.0,0.0,2.0,5.0,0.0,0.0,4.0,3.0,13.0,2.0,20.0
29,8.0,9.0,4.0,8.0,5.0,4.0,0.0,2.0,5.0,0.0,0.0,3.0,3.0,13.0,2.0,20.0
30,8.0,9.0,5.0,6.0,5.0,4.0,0.0,2.0,5.0,0.0,0.0,1.0,2.0,14.0,2.0,20.0
31,8.0,9.0,6.0,6.0,5.0,4.0,0.0,2.0,6.0,0.0,0.0,1.0,2.0,12.0,2.0,20.0
32,7.0,9.0,5.0,6.0,4.0,4.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,13.0,2.0,19.0
33,7.0,11.0,5.0,5.0,4.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,14.0,2.0,19.0
34,7.0,12.0,4.0,4.0,4.0,3.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,14.0,3.0,19.0
35,8.0,12.0,4.0,4.0,6.0,3.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,14.0,3.0,19.0
36,9.0,12.0,4.0,4.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,14.0,3.0,19.0
37,11.0,12.0,4.0,5.0,6.0,3.0,3.0,3.0,6.0,0.0,0.0,0.0,2.0,14.0,3.0,18.0
38,11.0,12.0,4.0,4.0,6.0,4.0,3.0,4.0,6.0,0.0,0.0,0.0,2.0,14.0,3.0,18.0
39,11.0,11.0,4.0,4.0,7.0,4.0,3.0,4.0,6.0,0.0,0.0,0.0,2.0,13.0,3.0,19.0
40,11.0,11.0,4.0,4.0,7.0,4.0,4.0,4.0,6.0,1.0,0.0,1.0,1.0,13.0,3.0,18.0
41,11.0,11.0,5.0,5.0,7.0,4.0,4.0,4.0,6.0,1.0,0.0,2.0,1.0,13.0,2.0,18.0
42,11.0,11.0,5.0,5.0,7.0,4.0,5.0,3.0,5.0,1.0,0.0,3.0,0.0,12.0,2.0,18.0
43,13.0,11.0,4.0,5.0,7.0,4.0,4.0,2.0,5.0,1.0,0.0,4.0,0.0,12.0,2.0,18.0
44,12.0,9.0,5.0,5.0,6.0,3.0,4.0,3.0,5.0,1.0,0.0,5.0,0.0,11.0,2.0,19.0
45,13.0,9.0,5.0,5.0,6.0,5.0,4.0,4.0,5.0,1.0,0.0,6.0,0.0,11.0,2.0,19.0
46,13.0,9.0,5.0,5.0,6.0,5.0,4.0,5.0,5.0,1.0,0.0,6.0,0.0,10.0,2.0,19.0
47,14.0,9.0,6.0,4.0,7.0,5.0,3.0,5.0,5.0,1.0,0.0,5.0,0.0,10.0,2.0,19.0
48,13.0,9.0,6.0,3.0,8.0,6.0,2.0,6.0,5.0,1.0,0.0,5.0,0.0,10.0,2.0,20.0
49,13.0,9.0,5.0,3.0,8.0,7.0,2.0,7.0,6.0,0.0,0.0,5.0,1.0,12.0,1.0,20.0
50,15.0,9.0,6.0,2.0,9.0,5.0,1.0,7.0,5.0,0.0,0.0,5.0,2.0,12.0,1.0,20.0
51,15.0,9.0,4.0,1.0,8.0,6.0,1.0,7.0,5.0,0.0,0.0,5.0,2.0,12.0,1.0,20.0
52,15.0,9.0,4.0,1.0,8.0,4.0,1.0,7.0,6.0,0.0,0.0,3.0,2.0,11.0,1.0,20.0
53,15.0,8.0,3.0,1.0,12.0,4.0,1.0,6.0,6.0,0.0,0.0,3.0,2.0,9.0,1.0,22.0
54,15.0,6.0,3.0,1.0,13.0,6.0,1.0,6.0,7.0,0.0,0.0,3.0,2.0,10.0,1.0,21.0
55,14.0,5.0,2.0,0.0,14.0,4.0,3.0,5.0,9.0,1.0,0.0,1.0,1.0,10.0,2.0,20.0
56,13.0,5.0,1.0,0.0,15.0,3.0,3.0,5.0,9.0,1.0,0.0,0.0,1.0,9.0,2.0,20.0
57,14.0,5.0,1.0,1.0,14.0,3.0,5.0,5.0,10.0,1.0,0.0,0.0,1.0,10.0,3.0,21.0
58,14.0,5.0,1.0,1.0,14.0,3.0,6.0,5.0,10.0,1.0,0.0,0.0,0.0,11.0,3.0,21.0
59,14.0,5.0,1.0,2.0,13.0,3.0,6.0,5.0,10.0,1.0,0.0,0.0,0.0,11.0,3.0,22.0
60,13.0,3.0,0.0,2.0,13.0,2.0,7.0,6.0,11.0,1.0,0.0,0.0,0.0,12.0,3.0,22.0
61,13.0,2.0,0.0,2.0,14.0,2.0,7.0,6.0,11.0,2.0,0.0,0.0,0.0,13.0,3.0,22.0
62,13.0,2.0,0.0,2.0,14.0,1.0,7.0,5.0,10.0,2.0,0.0,0.0,0.0,13.0,3.0,22.0
63,13.0,2.0,0.0,1.0,14.0,1.0,7.0,5.0,10.0,1.0,0.0,0.0,0.0,13.0,3.0,22.0
64,13.0,2.0,1.0,1.0,15.0,2.0,5.0,6.0,11.0,1.0,0.0,0.0,0.0,13.0,3.0,22.0
65,14.0,2.0,2.0,1.0,16.0,2.0,4.0,5.0,11.0,1.0,0.0,0.0,0.0,12.0,3.0,21.0
66,14.0,2.0,3.0,0.0,15.0,1.0,4.0,6.0,10.0,1.0,0.0,0.0,0.0,11.0,3.0,21.0
67,12.0,0.0,5.0,0.0,15.0,1.0,2.0,6.0,10.0,1.0,0.0,0.0,0.0,10.0,3.0,19.0
68,13.0,0.0,5.0,0.0,16.0,1.0,1.0,5.0,10.0,1.0,0.0,0.0,0.0,10.0,3.0,19.0
69,14.0,0.0,5.0,0.0,16.0,3.0,0.0,4.0,10.0,1.0,0.0,0.0,1.0,10.0,3.0,18.0
70,15.0,0.0,6.0,0.0,16.0,3.0,1.0,4.0,8.0,1.0,0.0,1.0,2.0,10.0,3.0,18.0
71,15.0,0.0,6.0,0.0,15.0,3.0,1.0,4.0,7.0,1.0,0.0,1.0,2.0,10.0,3.0,18.0
72,14.0,0.0,6.0,0.0,15.0,3.0,2.0,3.0,6.0,1.0,0.0,2.0,2.0,10.0,3.0,18.0
73,15.0,0.0,6.0,0.0,17.0,3.0,2.0,3.0,6.0,1.0,0.0,2.0,2.0,10.0,3.0,18.0
74,15.0,0.0,6.0,0.0,17.0,3.0,2.0,2.0,7.0,1.0,0.0,3.0,3.0,10.0,3.0,17.0
75,16.0,0.0,6.0,0.0,15.0,3.0,3.0,1.0,7.0,1.0,0.0,3.0,4.0,10.0,3.0,17.0
76,16.0,0.0,6.0,0.0,15.0,2.0,3.0,1.0,7.0,1.0,1.0,3.0,5.0,10.0,3.0,17.0
77,16.0,0.0,7.0,0.0,16.0,2.0,3.0,1.0,7.0,1.0,1.0,3.0,5.0,10.0,3.0,17.0
78,15.0,0.0,7.0,0.0,16.0,3.0,3.0,1.0,7.0,1.0,1.0,3.0,5.0,10.0,3.0,17.0
79,14.0,0.0,7.0,0.0,16.0,2.0,2.0,1.0,6.0,0.0,1.0,2.0,5.0,10.0,3.0,17.0
80,14.0,1.0,7.0,3.0,17.0,3.0,2.0,0.0,6.0,0.0,1.0,1.0,4.0,8.0,3.0,16.0
81,14.0,1.0,7.0,3.0,16.0,3.0,2.0,0.0,6.0,0.0,1.0,1.0,4.0,8.0,3.0,16.0
82,14.0,1.0,7.0,3.0,16.0,3.0,1.0,0.0,7.0,0.0,1.0,2.0,4.0,8.0,3.0,16.0
83,14.0,2.0,6.0,3.0,17.0,3.0,1.0,0.0,7.0,0.0,1.0,2.0,4.0,9.0,3.0,16.0
84,16.0,2.0,5.0,3.0,16.0,3.0,1.0,0.0,6.0,0.0,1.0,1.0,4.0,9.0,3.0,16.0
85,14.0,3.0,4.0,3.0,14.0,3.0,1.0,0.0,6.0,0.0,1.0,1.0,3.0,9.0,3.0,16.0
86,14.0,3.0,4.0,3.0,15.0,2.0,1.0,1.0,6.0,0.0,1.0,1.0,2.0,9.0,3.0,15.0
87,13.0,3.0,4.0,3.0,13.0,2.0,1.0,2.0,6.0,0.0,1.0,1.0,2.0,9.0,3.0,15.0
88,13.0,3.0,4.0,3.0,12.0,2.0,1.0,2.0,7.0,0.0,1.0,0.0,1.0,9.0,3.0,15.0
89,13.0,3.0,4.0,3.0,12.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,1.0,9.0,3.0,15.0
90,13.0,3.0,4.0,3.0,12.0,2.0,1.0,3.0,7.0,0.0,0.0,1.0,1.0,9.0,3.0,15.0
91,11.0,5.0,3.0,3.0,11.0,1.0,1.0,3.0,7.0,0.0,0.0,1.0,1.0,9.0,3.0,15.0
92,11.0,5.0,2.0,3.0,11.0,1.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,9.0,3.0,14.0
93,11.0,5.0,2.0,4.0,11.0,1.0,2.0,3.0,7.0,0.0,0.0,1.0,1.0,9.0,3.0,14.0
94,8.0,6.0,2.0,4.0,9.0,1.0,2.0,4.0,8.0,0.0,0.0,2.0,0.0,9.0,3.0,14.0
95,8.0,6.0,2.0,4.0,9.0,1.0,2.0,4.0,7.0,0.0,0.0,2.0,0.0,9.0,3.0,14.0
96,8.0,6.0,2.0,3.0,8.0,1.0,2.0,4.0,7.0,0.0,0.0,2.0,0.0,11.0,3.0,14.0
97,8.0,6.0,1.0,5.0,8.0,0.0,1.0,5.0,7.0,0.0,0.0,2.0,0.0,11.0,3.0,15.0
98,7.0,6.0,1.0,3.0,8.0,0.0,2.0,5.0,7.0,0.0,0.0,3.0,0.0,11.0,3.0,15.0
99,7.0,6.0,1.0,3.0,8.0,0.0,2.0,5.0,7.0,0.0,0.0,3.0,0.0,11.0,3.0,15.0
100,7.0,6.0,0.0,5.0,8.0,0.0,2.0,5.0,6.0,0.0,0.0,3.0,0.0,11.0,3.0,15.0
101,8.0,6.0,0.0,5.0,8.0,0.0,2.0,5.0,6.0,0.0,0.0,4.0,0.0,12.0,3.0,15.0
102,8.0,6.0,0.0,5.0,6.0,0.0,2.0,5.0,6.0,0.0,0.0,4.0,0.0,12.0,4.0,15.0
103,8.0,5.0,0.0,5.0,7.0,0.0,1.0,5.0,6.0,0.0,0.0,4.0,0.0,12.0,3.0,15.0
104,8.0,5.0,0.0,5.0,8.0,0.0,0.0,4.0,6.0,0.0,0.0,4.0,0.0,12.0,3.0,16.0
105,9.0,5.0,0.0,5.0,7.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,0.0,12.0,3.0,16.0
106,9.0,5.0,0.0,5.0,6.0,0.0,0.0,3.0,6.0,0.0,0.0,4.0,0.0,12.0,3.0,15.0
107,10.0,7.0,0.0,5.0,6.0,0.0,0.0,2.0,6.0,0.0,0.0,4.0,0.0,12.0,3.0,14.0
108,11.0,6.0,0.0,6.0,6.0,1.0,1.0,2.0,6.0,0.0,0.0,3.0,0.0,12.0,3.0,15.0
109,11.0,6.0,0.0,5.0,6.0,1.0,1.0,2.0,6.0,1.0,0.0,3.0,0.0,12.0,3.0,15.0
110,11.0,6.0,0.0,4.0,6.0,1.0,1.0,2.0,5.0,1.0,0.0,4.0,0.0,13.0,3.0,15.0
111,11.0,6.0,0.0,4.0,6.0,1.0,1.0,2.0,5.0,1.0,0.0,5.0,0.0,13.0,3.0,15.0
112,10.0,5.0,0.0,6.0,6.0,1.0,1.0,2.0,5.0,1.0,0.0,5.0,0.0,14.0,3.0,15.0
113,10.0,5.0,0.0,6.0,6.0,1.0,1.0,2.0,5.0,1.0,0.0,5.0,0.0,14.0,3.0,15.0
114,11.0,5.0,0.0,6.0,6.0,1.0,2.0,2.0,5.0,1.0,0.0,5.0,0.0,14.0,3.0,15.0
115,11.0,5.0,0.0,5.0,6.0,1.0,4.0,1.0,5.0,1.0,0.0,5.0,0.0,13.0,3.0,15.0
116,10.0,3.0,0.0,5.0,6.0,1.0,5.0,1.0,5.0,2.0,0.0,5.0,0.0,13.0,3.0,15.0
117,10.0,3.0,1.0,6.0,5.0,1.0,4.0,1.0,5.0,2.0,0.0,5.0,0.0,13.0,3.0,15.0
118,9.0,3.0,1.0,7.0,5.0,1.0,4.0,1.0,5.0,2.0,0.0,5.0,0.0,13.0,3.0,15.0
119,9.0,3.0,2.0,5.0,5.0,1.0,4.0,1.0,5.0,2.0,0.0,6.0,0.0,13.0,3.0,15.0
120,9.0,4.0,2.0,5.0,4.0,1.0,5.0,1.0,5.0,2.0,0.0,5.0,0.0,13.0,3.0,14.0
121,10.0,4.0,2.0,4.0,6.0,0.0,5.0,1.0,5.0,1.0,0.0,4.0,0.0,13.0,3.0,15.0
122,10.0,4.0,2.0,5.0,6.0,0.0,6.0,1.0,5.0,1.0,0.0,4.0,1.0,13.0,3.0,15.0
123,12.0,4.0,3.0,5.0,9.0,0.0,5.0,1.0,5.0,1.0,0.0,3.0,1.0,13.0,3.0,16.0
124,13.0,3.0,3.0,5.0,11.0,0.0,4.0,1.0,5.0,1.0,0.0,3.0,1.0,13.0,3.0,17.0
125,13.0,5.0,3.0,5.0,12.0,0.0,3.0,1.0,5.0,1.0,0.0,4.0,1.0,13.0,3.0,17.0
126,15.0,5.0,3.0,5.0,14.0,0.0,3.0,1.0,5.0,1.0,0.0,4.0,1.0,13.0,3.0,16.0
127,15.0,5.0,3.0,5.0,15.0,0.0,2.0,1.0,6.0,0.0,0.0,4.0,0.0,13.0,3.0,15.0
128,15.0,7.0,3.0,5.0,15.0,0.0,2.0,1.0,7.0,0.0,0.0,4.0,0.0,13.0,3.0,15.0
129,14.0,7.0,3.0,4.0,17.0,0.0,1.0,1.0,8.0,0.0,0.0,4.0,0.0,13.0,3.0,18.0
130,15.0,7.0,3.0,3.0,17.0,0.0,3.0,1.0,8.0,0.0,0.0,5.0,0.0,13.0,3.0,18.0
131,15.0,7.0,3.0,3.0,15.0,0.0,3.0,1.0,9.0,1.0,0.0,4.0,0.0,13.0,3.0,19.0
132,15.0,7.0,3.0,3.0,15.0,0.0,3.0,1.0,9.0,1.0,0.0,4.0,0.0,11.0,3.0,19.0
133,16.0,7.0,2.0,3.0,13.0,0.0,5.0,0.0,8.0,1.0,0.0,4.0,0.0,11.0,3.0,19.0
134,16.0,7.0,2.0,3.0,12.0,0.0,5.0,0.0,8.0,1.0,0.0,4.0,0.0,11.0,3.0,19.0
135,16.0,7.0,2.0,3.0,12.0,0.0,5.0,0.0,7.0,1.0,1.0,4.0,0.0,11.0,3.0,20.0
136,16.0,5.0,2.0,2.0,10.0,0.0,6.0,1.0,7.0,1.0,1.0,4.0,0.0,11.0,3.0,20.0
137,17.0,5.0,2.0,3.0,8.0,0.0,6.0,1.0,7.0,1.0,1.0,3.0,0.0,11.0,3.0,20.0
138,17.0,5.0,1.0,2.0,7.0,0.0,8.0,2.0,5.0,1.0,1.0,3.0,0.0,10.0,3.0,20.0
139,17.0,5.0,1.0,2.0,8.0,0.0,7.0,2.0,6.0,1.0,1.0,2.0,0.0,10.0,3.0,20.0
140,17.0,5.0,1.0,2.0,8.0,1.0,6.0,3.0,6.0,1.0,1.0,2.0,0.0,10.0,3.0,19.0
141,18.0,5.0,1.0,3.0,8.0,1.0,5.0,5.0,6.0,1.0,1.0,1.0,0.0,10.0,3.0,18.0
142,18.0,5.0,1.0,3.0,8.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,0.0,9.0,3.0,19.0
143,20.0,5.0,1.0,3.0,10.0,1.0,4.0,5.0,6.0,1.0,1.0,1.0,1.0,9.0,3.0,19.0
144,20.0,4.0,1.0,3.0,10.0,1.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,9.0,3.0,19.0
145,19.0,4.0,1.0,3.0,9.0,1.0,3.0,5.0,8.0,1.0,1.0,1.0,1.0,9.0,3.0,19.0
146,19.0,5.0,1.0,3.0,9.0,1.0,3.0,6.0,9.0,1.0,1.0,1.0,1.0,10.0,2.0,19.0
147,19.0,7.0,1.0,3.0,8.0,1.0,4.0,7.0,10.0,1.0,1.0,1.0,1.0,10.0,2.0,19.0
148,19.0,6.0,1.0,3.0,9.0,1.0,5.0,7.0,10.0,1.0,1.0,1.0,0.0,10.0,1.0,19.0
149,21.0,7.0,1.0,3.0,9.0,1.0,4.0,8.0,11.0,0.0,1.0,1.0,0.0,10.0,2.0,19.0
150,21.0,8.0,1.0,3.0,9.0,1.0,5.0,7.0,11.0,0.0,0.0,1.0,0.0,9.0,2.0,19.0
151,21.0,7.0,2.0,3.0,12.0,1.0,4.0,7.0,12.0,0.0,0.0,2.0,0.0,9.0,2.0,18.0
152,20.0,7.0,2.0,3.0,13.0,1.0,4.0,7.0,11.0,0.0,0.0,2.0,0.0,11.0,2.0,18.0
153,18.0,6.0,2.0,3.0,12.0,1.0,4.0,7.0,10.0,0.0,0.0,2.0,0.0,11.0,2.0,18.0
154,17.0,5.0,2.0,3.0,15.0,1.0,4.0,8.0,11.0,0.0,0.0,1.0,0.0,11.0,2.0,18.0
155,17.0,5.0,2.0,2.0,16.0,1.0,3.0,6.0,10.0,0.0,0.0,1.0,0.0,11.0,2.0,17.0
156,16.0,5.0,2.0,2.0,17.0,1.0,2.0,7.0,9.0,0.0,0.0,2.0,0.0,10.0,2.0,17.0
157,15.0,4.0,2.0,2.0,17.0,1.0,2.0,8.0,8.0,0.0,0.0,3.0,0.0,10.0,2.0,17.0
158,16.0,4.0,3.0,2.0,16.0,1.0,2.0,7.0,8.0,0.0,0.0,3.0,0.0,9.0,2.0,18.0
159,18.0,5.0,4.0,2.0,17.0,1.0,2.0,8.0,8.0,0.0,0.0,3.0,0.0,9.0,2.0,18.0
160,18.0,3.0,4.0,1.0,17.0,1.0,2.0,9.0,8.0,0.0,2.0,3.0,0.0,12.0,2.0,19.0
161,18.0,3.0,5.0,1.0,17.0,1.0,1.0,8.0,8.0,0.0,2.0,4.0,0.0,12.0,2.0,19.0
162,18.0,2.0,5.0,1.0,18.0,0.0,1.0,7.0,7.0,0.0,2.0,4.0,0.0,13.0,2.0,20.0
163,19.0,2.0,5.0,1.0,16.0,0.0,1.0,8.0,7.0,0.0,2.0,3.0,0.0,13.0,3.0,21.0
164,19.0,2.0,6.0,1.0,17.0,0.0,2.0,9.0,8.0,0.0,2.0,3.0,2.0,13.0,3.0,21.0
165,20.0,2.0,6.0,1.0,16.0,0.0,2.0,9.0,8.0,0.0,2.0,3.0,3.0,13.0,3.0,21.0
166,20.0,2.0,6.0,2.0,16.0,0.0,2.0,9.0,8.0,0.0,2.0,3.0,3.0,14.0,3.0,21.0
167,19.0,2.0,7.0,2.0,15.0,0.0,2.0,9.0,8.0,0.0,2.0,3.0,3.0,14.0,3.0,19.0
168,18.0,2.0,6.0,2.0,15.0,0.0,1.0,8.0,8.0,0.0,2.0,4.0,3.0,14.0,3.0,19.0
169,19.0,2.0,6.0,2.0,15.0,0.0,1.0,8.0,8.0,0.0,2.0,3.0,2.0,13.0,3.0,17.0
170,20.0,2.0,6.0,2.0,13.0,0.0,1.0,7.0,8.0,0.0,2.0,3.0,2.0,13.0,3.0,18.0
171,21.0,2.0,6.0,1.0,14.0,0.0,0.0,7.0,8.0,0.0,2.0,3.0,1.0,13.0,2.0,18.0
172,24.0,1.0,6.0,1.0,14.0,0.0,0.0,7.0,6.0,0.0,2.0,3.0,1.0,12.0,2.0,17.0
173,24.0,1.0,6.0,1.0,13.0,0.0,0.0,7.0,6.0,0.0,2.0,3.0,1.0,11.0,2.0,17.0
174,24.0,1.0,8.0,1.0,14.0,0.0,0.0,6.0,7.0,0.0,2.0,2.0,1.0,11.0,2.0,15.0
175,24.0,1.0,8.0,1.0,14.0,0.0,0.0,6.0,7.0,0.0,2.0,2.0,1.0,11.0,2.0,14.0
176,26.0,1.0,8.0,1.0,14.0,0.0,1.0,5.0,7.0,0.0,2.0,2.0,1.0,11.0,2.0,14.0
177,26.0,1.0,9.0,1.0,16.0,0.0,1.0,5.0,7.0,0.0,2.0,1.0,1.0,11.0,2.0,16.0
178,26.0,2.0,9.0,0.0,15.0,0.0,1.0,5.0,7.0,0.0,2.0,1.0,1.0,12.0,2.0,16.0
179,26.0,2.0,8.0,0.0,15.0,0.0,1.0,5.0,7.0,0.0,1.0,1.0,1.0,12.0,2.0,15.0
180,26.0,2.0,8.0,0.0,15.0,0.0,1.0,4.0,7.0,0.0,1.0,2.0,1.0,13.0,2.0,15.0
181,25.0,2.0,9.0,1.0,15.0,0.0,1.0,4.0,7.0,0.0,1.0,2.0,1.0,12.0,2.0,15.0
182,25.0,2.0,8.0,1.0,15.0,0.0,1.0,4.0,7.0,0.0,1.0,3.0,1.0,11.0,2.0,15.0
183,25.0,2.0,8.0,1.0,14.0,0.0,1.0,2.0,7.0,0.0,1.0,4.0,1.0,11.0,2.0,15.0
184,24.0,2.0,8.0,1.0,17.0,0.0,1.0,2.0,7.0,0.0,1.0,4.0,2.0,10.0,2.0,15.0
185,23.0,2.0,9.0,1.0,17.0,0.0,1.0,2.0,7.0,0.0,0.0,4.0,2.0,11.0,2.0,14.0
186,23.0,2.0,8.0,1.0,17.0,0.0,1.0,2.0,7.0,0.0,0.0,3.0,2.0,10.0,2.0,14.0
187,22.0,2.0,9.0,1.0,16.0,0.0,1.0,2.0,7.0,0.0,0.0,3.0,2.0,10.0,2.0,14.0
188,21.0,2.0,9.0,1.0,16.0,0.0,1.0,3.0,7.0,0.0,0.0,1.0,2.0,10.0,2.0,14.0
189,22.0,1.0,10.0,1.0,17.0,0.0,1.0,3.0,6.0,0.0,0.0,1.0,3.0,12.0,3.0,13.0
190,22.0,1.0,12.0,1.0,17.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,3.0,12.0,3.0,13.0
191,20.0,1.0,12.0,1.0,16.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,4.0,12.0,3.0,13.0
192,20.0,1.0,12.0,0.0,15.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,5.0,12.0,3.0,13.0
193,19.0,1.0,14.0,0.0,16.0,0.0,1.0,7.0,7.0,0.0,0.0,2.0,5.0,12.0,3.0,14.0
194,19.0,1.0,14.0,0.0,15.0,0.0,1.0,7.0,7.0,0.0,0.0,4.0,5.0,11.0,3.0,14.0
195,20.0,1.0,15.0,0.0,14.0,0.0,1.0,7.0,7.0,0.0,0.0,4.0,3.0,10.0,3.0,14.0
196,21.0,1.0,14.0,0.0,16.0,0.0,2.0,7.0,7.0,0.0,0.0,4.0,2.0,10.0,3.0,15.0
197,22.0,1.0,14.0,0.0,16.0,0.0,3.0,5.0,7.0,0.0,0.0,4.0,2.0,10.0,3.0,15.0
198,21.0,1.0,14.0,0.0,15.0,0.0,3.0,4.0,7.0,0.0,0.0,4.0,2.0,11.0,3.0,15.0
199,21.0,1.0,13.0,0.0,15.0,0.0,4.0,4.0,7.0,0.0,0.0,5.0,2.0,11.0,3.0,15.0
200,21.0,1.0,12.0,0.0,15.0,0.0,4.0,4.0,7.0,0.0,0.0,5.0,2.0,11.0,3.0,15.0
201,21.0,1.0,12.0,0.0,15.0,0.0,5.0,4.0,7.0,0.0,0.0,5.0,3.0,11.0,3.0,15.0
202,22.0,0.0,12.0,0.0,14.0,0.0,5.0,3.0,7.0,1.0,0.0,5.0,4.0,12.0,3.0,14.0
203,22.0,0.0,11.0,0.0,15.0,0.0,6.0,4.0,7.0,1.0,0.0,5.0,4.0,13.0,3.0,13.0
204,22.0,0.0,11.0,0.0,16.0,0.0,6.0,4.0,6.0,1.0,0.0,3.0,4.0,13.0,3.0,12.0
205,22.0,0.0,10.0,0.0,16.0,0.0,6.0,4.0,6.0,1.0,0.0,2.0,4.0,13.0,3.0,12.0
206,22.0,0.0,11.0,0.0,16.0,0.0,7.0,4.0,6.0,1.0,0.0,3.0,3.0,13.0,3.0,12.0
207,21.0,0.0,11.0,0.0,14.0,0.0,8.0,5.0,6.0,1.0,0.0,2.0,4.0,13.0,3.0,11.0
208,20.0,0.0,11.0,0.0,14.0,0.0,8.0,5.0,6.0,1.0,0.0,2.0,4.0,13.0,3.0,11.0
209,21.0,0.0,9.0,0.0,15.0,0.0,7.0,6.0,7.0,1.0,0.0,2.0,5.0,13.0,3.0,12.0
